name,companyType,employeeCountRange,foundedYear,industries,numFollowers,specialties,squareLogoUrl,websiteUrl,group
Bolands Quay,Privately Held,2-10,Undisclosed,Real Estate,more than 1000,Not Specified,https://media.licdn.com/dms/image/C560BAQGBVzy2WfBafw/company-logo_200_200/0?e=2132524800&v=beta&t=9_JVmrEioawFs_hk9c94hjmKMjFnuY_7vxyfso2aj2w,www.bolandsquay.com,Financial
IPUT,Public Company,11-50,1967,Investment Management,more than 1000,Not Specified,https://media.licdn.com/dms/image/C560BAQFAMM6JM03tVQ/company-logo_200_200/0?e=2132524800&v=beta&t=i0iQ0QAIIWxe9XnGNCQ56TulbV3MR5rcNbcpezvUSNE,www.iput.com,Financial
Linked Finance,Privately Held,11-50,2011,Financial Services,more than 1000,"Crowd Funding Platform,bank loan alternative,Peer to Peer lending,investment in small and medium size busines",https://media.licdn.com/dms/image/C4E0BAQEGGtFRQPV9Sg/company-logo_200_200/0?e=2132524800&v=beta&t=dKajCpll89Bj8aLsxuGgQKLElzB2JfjZyugA79fiiEo,www.linkedfinance.com,Financial
Global Shares,Privately Held,51-200,2005,Financial Services,more than 1000,"Global Stock Plan Administration, Managment & Consulting,Equity Plan Management,Share Plan Management and Administration,Stock Plan Administration,Equity Plan Software,APSS Softare Solutions,ESPP Software",https://media.licdn.com/dms/image/C4E0BAQF71mOhJIUPMw/company-logo_200_200/0?e=2132524800&v=beta&t=_oVFg819gw3cEqSkEb2bmcELJuUHQMh_asSwgGWBfkM,https://www.globalshares.com/,Financial
OSK,Partnership,51-200,Undisclosed,Accounting,more than 1000,"Audit & Accountancy,International Tax,Contractor Accountants,Tax Advisers,Tax Consultants,Corporate Finance,Payroll,Management Accountants,Small Business Accountants,Pension Audits,Tax and Accounting Services",https://media.licdn.com/dms/image/C560BAQGMKkkVviil7g/company-logo_200_200/0?e=2132524800&v=beta&t=RoNmxOvrn3rKGJk6GT9Ea4qa6HLJMvTqgfvCO-U4PWE,https://www.osk.ie,Financial
Quinn Direct Insurance,Privately Held,1001-5000,1996,Insurance,more than 1000,"Private motor insurance,commercial insurance,motorcycle insurance,home insurance.",https://media.licdn.com/dms/image/C560BAQGGN6WmKMpg4A/company-logo_200_200/0?e=2132524800&v=beta&t=NFi7MFk0DO4vxzSHUonkR4SkTnYMosoSdkXdv_YtN34,http://www.quinn-insurance.com,Financial
Future • Finance,Privately Held,51-200,2013,Financial Services,more than 1000,"Private Student Lending,FinTech",https://media.licdn.com/dms/image/C4E0BAQEnjKCaj_GLvQ/company-logo_200_200/0?e=2132524800&v=beta&t=BmeedbVA-pMujVVTqLLD0B1XHZgp43xNZZWCfrzdxJY,www.futurefinance.com/uk?mid=120,Financial
Centaur,Self Owned,51-200,2009,Financial Services,more than 1000,"Hedge Funds,Alternative Funds,Private Equity Funds,Real Estate Funds,Fund of Funds,Regulated Funds",https://media.licdn.com/dms/image/C560BAQEIj-6-XdatRA/company-logo_200_200/0?e=2132524800&v=beta&t=3vW4W3wjCjygXE-IOTVm0OSsnMnR2049cdu8sXT_ChI,www.centaurfs.com,Financial
Willis Towers Watson Ireland,Public Company,201-500,1903,Insurance,more than 1000,"Risk Management,Insurance,Employee Benefits Solutions,Human Resource Consulting,Corporate Solutions,Pensions & Actuarial Consulting,Broker Services,Claims,Investment Consulting",https://media.licdn.com/dms/image/C510BAQEwj0nGaekglQ/company-logo_200_200/0?e=2132524800&v=beta&t=-Y-J0bhJTJK58V9PojUYBCCsobe7v03xmPefMF5UBNw,http://www.willistowerswatson.com,Financial
Taxback International - Smarter VAT Recovery,Privately Held,501-1000,1996,Financial Services,more than 1000,"Foreign VAT Recovery,Domestic VAT Recovery,VAT Compliance,Vat Consultancy & Training,VAT Review Services,Receipt Auditing,Enhanced Reporting,Automated VAT Recovery,VAT Recovery",https://media.licdn.com/dms/image/C560BAQGpjOULPEGHHQ/company-logo_200_200/0?e=2132524800&v=beta&t=PHDHD-FjcdJizCPMORsw_pOoEDExF_1MQUrbLT3Vz2Y,www.taxbackinternational.com,Financial
