name,companyType,employeeCountRange,foundedYear,industries,numFollowers,specialties,squareLogoUrl,websiteUrl,group
Realex Payments,Privately Held,51-200,2000,Information Technology & Services,more than 1000,"Payments Experts,Payment Gateway,Managed Gateway Solutions,Online Payment Processing",https://media.licdn.com/dms/image/C560BAQEjVMQESZJV6g/company-logo_200_200/0?e=2132524800&v=beta&t=KeYftvMVp8yiAayBnlPQvmp0ZsirIa9DEJ_3f7cHpzY,https://www.realexpayments.com,IT
Poppulo,Privately Held,51-200,Undisclosed,Information Technology & Services,more than 1000,Not Specified,https://media.licdn.com/dms/image/C510BAQHl55yGMSpoeQ/company-logo_200_200/0?e=2132524800&v=beta&t=0K0GaX9XWajsErGsXnMsm0_w6QXK4NGaz1yfzPtxPgY,https://www.poppulo.com,IT
Datalex,Public Company,201-500,1985,Computer Software,more than 1000,"Travel distribution control,Travel retail optimization,Maximizing revenue opportunities,Travel Merchandizing Solution,Digital Transformation ,Digital Commerce for Travel Retail",https://media.licdn.com/dms/image/C510BAQGAw0oUwIkKUg/company-logo_200_200/0?e=2132524800&v=beta&t=yKYJZ6kj1FBMinN8FpdRqkKYj9tVddNgUXllMkAF6ZY,http://www.datalex.com,IT
PFH Technology Group,Privately Held,201-500,1985,Information Technology & Services,more than 1000,"Consultancy,Managed Services,Cloud Services,Unified Communications,Infrastructure Services,Project Management,Server Consolidation,Storage Services,Training,Resourcing,Business Solutions",https://media.licdn.com/dms/image/C4E0BAQGyk58ctqjwzw/company-logo_200_200/0?e=2132524800&v=beta&t=Pw1IXZUQsoyCXSY_ITwqqSnJW8aSgrmoOaz-T25uQO8,www.pfh.ie,IT
Clever Techies,Privately Held,2-10,2013,Information Technology & Services,more than 1000,"Recruitment,Talent Acquisition,Head-hunting",https://media.licdn.com/dms/image/C4D0BAQGLN6zo0R2ipg/company-logo_200_200/0?e=2132524800&v=beta&t=vkV1efmMErlk-wBLpg4CHIDum2ksNzr5oTJ6jz97bog,www.clevertechies.com,IT
Bloomberg PolarLake,Privately Held,51-200,2012,Information Technology & Services,more than 1000,"Rapid Access Data Quality & Governance,Regulation Ready Data Management,Instrument & Ratings Data Management ,Pricing Data Management,Index Data Management",https://media.licdn.com/dms/image/C4D0BAQEwOmMXHHayQQ/company-logo_200_200/0?e=2132524800&v=beta&t=uEtcp9mUD-BkjZRUchyXdMMJehZP0QRSEUtWWFSKD5Y,www.BloombergPolarlake.com,IT
Corvil,Privately Held,201-500,2000,Information Technology & Services,more than 1000,"Safeguarding Business In A Machine World,Corvil Analytics for Electronic Trading,Corvil Analytics for Cyber Security,Corvil Analytics for IT Operations",https://media.licdn.com/dms/image/C4E0BAQEsWj0hNg5pHA/company-logo_200_200/0?e=2132524800&v=beta&t=TdeMwNRJPMQhGJ6YXiJxishIjY8CnC9IDdsm94c099s,https://www.corvil.com,IT
BT Ireland,Public Company,1001-5000,Undisclosed,Information Technology & Services,more than 1000,"Networked IT,Mangaged Services,Wholesale Networks,ICT,Security,Unified Communications",https://media.licdn.com/dms/image/C4D0BAQHc5x4HLLruVg/company-logo_200_200/0?e=2132524800&v=beta&t=2xy4oz5bK70QA7vlEBpaw9oOG031UoFrqjbFzx6avGk,www.btireland.com,IT
eShopWorld,Privately Held,51-200,2010,Internet,more than 1000,"Global Checkout,Payments,Logistics, Shipping and Delivery,Returns Management,Customer Service,Retail Administration,Marketing Insights,eCommerce,Cross-Border",https://media.licdn.com/dms/image/C4E0BAQGks-dA5oi51A/company-logo_200_200/0?e=2132524800&v=beta&t=SC6PscvX1c1NYp2O2i6EYClKJeCoTr7XZkhvnqoLxsk,www.eshopworld.com,IT
Profitero,Privately Held,51-200,2010,Internet,more than 1000,"eCommerce Intelligence,Pricing & Promotion Data,Competitor Price Intelligence,Brand MAP Monitoring,eCommerce Analytics",https://media.licdn.com/dms/image/C4E0BAQH2oec5zBAVaA/company-logo_200_200/0?e=2132524800&v=beta&t=8tExVUcEH4mS7Dc8Xb1NLBf9UmHj35mt2TxMRYAP-UY,www.profitero.com,IT
Havok,Privately Held,51-200,Undisclosed,Computer Games,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4E0BAQF6yHDE9lQcWg/company-logo_200_200/0?e=2132524800&v=beta&t=3VaKSoqYPU5mj0fbWmYCqeVlZXuoH4bpA8uwrlslupI,www.havok.com,IT
CMS Distribution,Privately Held,201-500,1988,Information Technology & Services,more than 1000,"Data Storage,Distribution,Cyber Security,Software,Hardware,HDD & SSD,NAS, SAN, DAS,Flash Memory,Marketing,Networking,Cloud Services,Security,Retail,Consumer Electronics,Drones,Cloud,IT Management,Drones,Robotics,Information Security",https://media.licdn.com/dms/image/C4E0BAQEruAJ2YC2PBg/company-logo_200_200/0?e=2132524800&v=beta&t=cQaYjU3zdJJPvcSWAcPJ9Pt573USOtv4KLx1eOr5vTc,www.cmsdistribution.com,IT
EPSGlobal,Privately Held,201-500,1999,Information Technology & Services,more than 1000,"Component Programming & Logistics,Electro-Mechanical,Optoelectronics,Embedded Systems,Storage Networking,Power Solutions,Wireless Solutions",https://media.licdn.com/dms/image/C4D0BAQHHORQP5JXiQA/company-logo_200_200/0?e=2132524800&v=beta&t=LsxRYyQCJwVDOXKIQl_AEazvFpqE6XiqA6dsMGoSpFU,www.epsglobal.com,IT
NewsWhip,Privately Held,51-200,2011,Information Services,more than 1000,"Social media,News,Content analytics,Social engagement,Social signals,Content performance analytics,Publishing,Social velocity,Trending analytics",https://media.licdn.com/dms/image/C510BAQGB_iq5nXTxHg/company-logo_200_200/0?e=2132524800&v=beta&t=gfyx13eFCye6VcVer3ydTSgWcUEPQCwBcwTbltL_iOA,www.newswhip.com,IT
QPTech Ltd,Privately Held,11-50,2011,Information Technology & Services,more than 1000,"Software Quality Assurance,Recruitment Consulting,Professional IT Consultancy,Integration Software Development,Job Search for Quality & Technical Professionals,Project Management,Job Search for Quality & Technical Professionals",https://media.licdn.com/dms/image/C4D0BAQGoA9q08lKvpw/company-logo_200_200/0?e=2132524800&v=beta&t=72UqlAOy_5QhJZGTbMGMbDYlJ_1qDGS8TxP733MjQ24,http://www.qptech.ie,IT
Sysnet Global Solutions,Privately Held,201-500,1989,Information Technology & Services,more than 1000,"Information Security Assurance,Information Security,PCI DSS services,PCI compliance,Information Security Compliance Standards,ISO 27001,Cyber Security",https://media.licdn.com/dms/image/C510BAQGoHVrNCuNcRw/company-logo_200_200/0?e=2132524800&v=beta&t=WLvN-n4aVMXi747OP6UIBBqHvrHvDKG2whj7vEcbZvs,www.sysnetgs.com,IT
Big Red Book,Privately Held,11-50,Undisclosed,Computer Software,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4E0BAQFwHGQ2AG5kDA/company-logo_200_200/0?e=2132524800&v=beta&t=ClMY39FzRfjWHReIqqg25olJqpVCon01JU57QArsrnQ,www.bigredbook.com,IT
Newsweaver ,Privately Held,51-200,1996,Information Technology & Services,more than 1000,"Internal Communications,Employee Engagement,Email Marketing,Communications Measurement,B2B Email Marketing,Email Engagament,Measurement,Change Communications",https://media.licdn.com/dms/image/C4D0BAQFrjCIeZoEpqQ/company-logo_200_200/0?e=2132524800&v=beta&t=YpDXFWKwH2LyxBzxBNckmVvro3kdlPHgqe0jIkzihYo,http://www.newsweaver.com,IT
