name,companyType,employeeCountRange,foundedYear,industries,numFollowers,specialties,squareLogoUrl,websiteUrl,group
Enovation ,Privately Held,51-200,2000,E-learning,more than 1000,"eLearning,Project Collaboration Portal,Moodle Partner,Alfresco,Open source products,Integrated Solutions,Talent Management,Project Management,Web Content Management,Support & Training,Customization, hosting,Managed Services,Drupal,Hosting,Totara Partner",https://media.licdn.com/dms/image/C4D0BAQHuHjAvvh41kA/company-logo_200_200/0?e=2132524800&v=beta&t=dXvmztH3FdPETl7fSeM51EacvFwFWF96d1EBtvq0jNA,http://www.enovation.ie,EDUCATION
Academy of Financial Trading,Educational,201-500,2012,E-learning,more than 1000,"Financial Trading,Higher Education,Online Education,Technical Analysis,Learn to Trade,Trading,Forex Trading,Trading Education",https://media.licdn.com/dms/image/C510BAQEk_Ft3z9lQSA/company-logo_200_200/0?e=2132524800&v=beta&t=VJ_xm7W-H-Y8ZRmkEQZBr7r5vayTYjvVwTqwCPTXZ-0,www.academyft.com,EDUCATION
LA College of Creative Arts,Privately Held,11-50,2005,Education Management,more than 1000,"Academic Training in the Creative Arts,Fashion Design,Fashion Styling,Make-Up Artistry,Millinery,Photography",https://media.licdn.com/dms/image/C4D0BAQEAgluYHfXXWQ/company-logo_200_200/0?e=2132524800&v=beta&t=fVEp--4aRNfQzj_EKCoBwUmwyetJkwtE6hiDww7uFnw,www.lacollegeofcreativearts.com,EDUCATION
Primary Schools,Privately Held,myself only,Undisclosed,Education Management,more than 1000,Not Specified,https://static1.squarespace.com/static/                                     543fa8a4e4b07a3fedf53cf8/t/59f7a805ec212d5a70dc4212/                                     1509403020299/fullsizeoutput_5147.jpeg,www.drama.ie,EDUCATION
DCU Business School,Educational,51-200,Undisclosed,Higher Education,more than 1000,"Accounting,Economics,Finance,Entrepreneurship,Leadership & Talent,Big Data,Cloud Computing,Aviation Leadership,Digital Marketing,Organisational Psychology,Management,Family Business",https://media.licdn.com/dms/image/C560BAQFvo8QjGLc4VA/company-logo_200_200/0?e=2132524800&v=beta&t=XQWafz4Dl7_cHyYDDNqvBUFmkjZpgiVi5VPLevi-us0,business.dcu.ie,EDUCATION
GMIT Innovation Hubs,Educational,501-1000,Undisclosed,Higher Education,more than 1000,Not Specified,https://media.licdn.com/dms/image/C560BAQEPCCBhJKv73w/company-logo_200_200/0?e=2132524800&v=beta&t=y04qTvhr_-L7oWXtY-CIV8rC-5bGQmizjF-K3jtmSRg,www.gmit.ie/gmit-innovation-hubs,EDUCATION
Institute of Project Management Ireland,Privately Held,11-50,1989,Education Management,more than 1000,"Project Management training,Certification,Education,International project management networks",https://media.licdn.com/dms/image/C4D0BAQGyqSax-d5PCg/company-logo_200_200/0?e=2132524800&v=beta&t=mZKuS8fxJt1JHvpi0670KGC-l1FvRXJT6AZfJAxQR4g,http://www.projectmanagement.ie,EDUCATION
Irish Research Council,Government Agency,11-50,2012,Education Management,more than 1000,Not Specified,https://media.licdn.com/dms/image/C510BAQF4_lcGhN6WOA/company-logo_200_200/0?e=2132524800&v=beta&t=_8MYZs-C2l1yjXEV5sPnlIM5fpbdktgc3beLQpfhZ9U,www.research.ie,EDUCATION
Royal College of Physicians of Ireland,Non Profit,51-200,1654,Education Management,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4E0BAQEVjhhCLVqw6w/company-logo_200_200/0?e=2132524800&v=beta&t=kUSpfuwj-n0BmOtdFA6kVDr73a88eGjkbiPG-zTE1mg,http://www.rcpi.ie/,EDUCATION
Cleaning and Hygiene Training,Privately Held,2-10,Undisclosed,Education Management,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4D0BAQFfBGDGdsK4vQ/company-logo_200_200/0?e=2132524800&v=beta&t=x-LzmR4IXseOfRvrC1YNxGnp9D3Z00r3CE0XVq_X9JE,www.cleaningtraining.ie,EDUCATION
Coláiste Dhúlaigh College of Further Education,Educational,Undisclosed,Undisclosed,Higher Education,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4D0BAQFCOiHAbe-XdQ/company-logo_200_200/0?e=2132524800&v=beta&t=5LDWqb7a5opzE7CS7tLiUFE8A4tCM3svBPrsjkAkpKY,www.cdcfe.ie,EDUCATION
Intuition Publishing Ltd.,Privately Held,201-500,1985,E-learning,more than 1000,"Knowledge Services,LMS and Portals,Online Learning Library,Advisory Services,Custom Learning Solutions,Graduate programs,Mobile Learning,Blended Learning,Knowledge Management Platform",https://media.licdn.com/dms/image/C4D0BAQFdnEEixyx7Yw/company-logo_200_200/0?e=2132524800&v=beta&t=v1xGVmIRahpSTCHZEeTk8a2_CcAMIgphIef1uSsIfgw,www.intuition.com,EDUCATION
